Stkcd,Stknme,Ppdadt,Annocont,Exdistdt,Price2,f,mktret_t,ret_t,ret_t30,Listdt,age,Price_ex,abret_t
600340,华夏幸福,2015/3/26,10送10股派8元(含税),2015/5/4,33.69,1,-0.039307,-0.081627,0.0944,2003/12/30,12,16.845,-0.04232
600823,世茂股份,2015/3/26,10转增5股派1.7元(含税),2015/6/4,17.07,0.5,0.014775,0.007616,-0.2477,1994/2/4,21,11.38,-0.007159
601699,潞安环能,2015/3/26,10送3股派0.35元(含税),2015/6/11,12.35,0.3,0.011318,-0.012955,-0.361,2006/9/22,9,9.5,-0.024273
300150,世纪瑞尔,2015/3/26,10转增10股派2元(含税),2015/5/14,16.05,1,-0.013775,-0.04486,-0.122,2010/12/22,5,8.025,-0.031085
559,万向钱潮,2015/3/27,10转增2股派3元(含税),2015/4/29,15.22,0.2,-0.004156,-0.012484,0.9481,1994/1/10,21,12.68333333,-0.008328
2334,英威腾,2015/3/27,10转增10.006515股派1.500977元(含税),2015/4/30,12.77,1.000652,0.00876,0.007048,0.3686,2010/1/13,5,6.382919168,-0.001712
27,深圳能源,2015/3/27,10送5股派2元(含税),2015/6/25,14.9,0.5,-0.083558,-0.1,-0.1842,1993/9/3,22,9.933333333,-0.016442
600549,厦门钨业,2015/3/27,10转增3股派2元(含税),2015/5/11,30.43,0.3,0.017355,-0.010187,-0.0229,2002/11/7,13,23.40769231,-0.027542
300114,中航电测,2015/3/27,10转增3股派0.5元(含税),2015/5/27,50,0.3,-0.068521,-0.0194,-0.466,2010/8/27,5,38.46153846,0.049121
2340,格林美,2015/3/27,10转增3股派0.1元(含税),2015/5/15,15.54,0.3,0.002078,0.034106,-0.1394,2010/1/22,5,11.95384615,0.032028
2381,双箭股份,2015/3/28,10转增5股派3元(含税),2015/5/11,14.33,0.5,0.017355,0.055827,0.1785,2010/4/2,5,9.553333333,0.038472
2507,涪陵榨菜,2015/3/28,10转增6股派1元(含税),2015/7/3,20.48,0.6,0.011173,-0.083984,-0.0314,2010/11/23,5,12.8,-0.095157
600064,南京高科,2015/3/26,10送5股派1元(含税),2015/4/29,21.92,0.5,-0.004156,0.04927,0.1987,1997/5/6,18,14.61333333,0.053426
600415,小商品城,2015/3/26,10送10股派1.2元(含税),2015/5/12,15.05,1,-0.001864,-0.012625,0.2086,2002/5/9,13,7.525,-0.010761
2439,启明星辰,2015/3/28,10转增8送2股派0.5元(含税),2015/5/18,36.83,1,0.03207,0.099919,-0.1533,2010/6/23,5,18.415,0.067849
600170,上海建工,2015/3/28,10转增3股派2元(含税),2015/5/12,10.29,0.3,-0.001864,0.016521,0.0937,1998/6/23,17,7.915384615,0.018385
789,万年青,2015/3/28,10转增5股派3元(含税),2015/5/21,11.83,0.5,0.022787,0.006762,-0.3359,1997/9/23,18,7.886666667,-0.016025
753,漳州发展,2015/3/31,10股转增7股,2015/5/7,6.86,0.7,0.030246,0.04519,0.5774,1997/6/26,18,4.035294118,0.014944
2452,长高集团,2015/3/31,10转增10股派1元(含税),2015/4/30,10.63,1,0.00876,-0.015052,0.3706,2010/7/20,5,5.315,-0.023812
2467,二六三,2015/3/31,10转增5股派1.8元(含税),2015/5/6,16.05,0.5,-0.024518,-0.066667,0.725,2010/9/8,5,10.7,-0.042149
859,国风塑业,2015/3/31,10股转增3股,2015/5/12,10.08,0.3,-0.001864,0.029762,0.0337,1998/11/19,17,7.753846154,0.031626
2223,鱼跃医疗,2015/3/31,10股转增1股,2015/5/21,57.2,0.1,0.022787,-0.003147,-0.1442,2008/4/18,7,52,-0.025934
300130,新国都,2015/3/31,10转增10股派0.5元(含税),2015/6/15,60.07,1,-0.03851,-0.099384,-0.4396,2010/10/19,5,30.035,-0.060874
600070,浙江富润,2015/3/31,10转增1送2股派0.5元(含税),2015/6/19,18.05,0.3,0.020969,-0.085319,-0.3434,1997/6/4,18,13.88461538,-0.106288
600066,宇通客车,2015/3/31,10转增5股派10元(含税),2015/5/20,23.6,0.5,0.025991,-0.025847,-0.1309,1997/5/8,18,15.73333333,-0.051838
600790,轻纺城,2015/3/31,10股转增3股,2015/5/21,13.57,0.3,0.022787,-0.014001,-0.5389,1997/2/28,18,10.43846154,-0.036788
600276,恒瑞医药,2015/3/31,10转增1送2股派1元(含税),2015/6/15,45.96,0.3,-0.03851,-0.048956,-0.0087,2000/10/18,15,35.35384615,-0.010446
600558,大西洋,2015/3/31,10转增5股派0.5元(含税),2015/7/24,13.84,0.5,-0.090392,-0.099711,-0.4952,2001/2/27,14,9.226666667,-0.009319
338,潍柴动力,2015/3/31,10转增10股派1.5元(含税),2015/8/20,11.9,1,-0.052796,-0.089916,-0.1339,2007/4/30,8,5.95,-0.03712
819,岳阳兴长,2015/3/31,10送0.5股派0.5元(含税),2015/6/10,53.7,0.05,0.007518,0.014525,-0.4046,1997/6/25,18,51.14285714,0.007007
2179,中航光电,2015/3/31,10转增3股派1元(含税),2015/6/3,48.05,0.3,0.005007,-0.059521,-0.1102,2007/11/1,8,36.96153846,-0.064528
2422,科伦药业,2015/3/31,10转增10股派2.5元(含税),2015/7/22,19.95,1,0.027241,0.100251,-0.2629,2010/6/3,5,9.975,0.07301
600352,浙江龙盛,2015/3/31,10转增10股派5元(含税),2015/6/10,20.01,1,0.007518,-0.04048,-0.2276,2003/8/1,12,10.005,-0.047998
2238,天威视讯,2015/4/1,10转增3股派2元(含税),2015/6/9,29.78,0.3,0.005704,0.026192,-0.2219,2008/5/26,7,22.90769231,0.020488
2269,美邦服饰,2015/4/1,10转增10送5股派1元(含税),2015/5/12,9.13,1.5,-0.001864,-0.030668,0.0203,2008/8/28,7,3.652,-0.028804
600735,新华锦,2015/4/1,10股转增5股,2015/5/7,19.47,0.5,0.030246,-0.019517,0.385,1996/7/26,19,12.98,-0.049763
