Stkcd,Stknme,Ppdadt,Annocont,Exdistdt,Price2,f,mktret_t,ret_t,ret_t30,Listdt,age,Price_ex,abret_t
2437,誉衡药业,2014/6/26,10股转增15股,2014/9/19,22.77,1.5,-0.016802,0.036891,0.0292,2010/6/23,5,9.108,0.053693
601377,兴业证券,2014/6/28,10股转增10股,2014/9/19,6.02,1,-0.016802,-0.024917,0.276,2010/10/13,5,3.01,-0.008115
600109,国金证券,2014/7/1,10股转增10股,2014/10/24,12.11,1,-0.00179,-0.055326,0.9353,1997/8/7,18,6.055,-0.053536
861,海印股份,2014/7/1,10股转增10股,2014/9/24,6.57,1,0.000263,0.048706,0.1567,1998/10/28,17,3.285,0.048443
300132,青松股份,2014/7/10,10股转增10股,2014/9/16,8.89,1,0.005764,-0.073116,-0.0328,2010/10/26,5,4.445,-0.07888
705,浙江震元,2014/7/17,10股转增10股,2014/8/27,9.39,1,-0.00758,-0.00426,0.1904,1997/4/10,18,4.695,0.00332
300134,大富科技,2014/7/25,10转增2股派5元(含税),2014/8/21,39.82,0.2,0.005437,-0.010547,0.1437,2010/10/26,5,33.18333333,-0.015984
600711,盛屯矿业,2014/7/30,10转增15股派0.5元(含税),2014/9/26,7.64,1.5,0.006472,-0.048429,-0.0413,1996/5/31,19,3.056,-0.054901
601099,太平洋,2014/8/5,10股转增5股,2014/10/9,6.69,0.5,-0.005331,-0.016442,0.1611,2007/12/28,8,4.46,-0.011111
600010,包钢股份,2014/8/7,10转增9.5送0.5股派0.125元(含税),2014/9/29,2.88,1,0.003823,-0.03125,0.0502,2001/3/9,14,1.44,-0.035073
2345,潮宏基,2014/8/13,10股转增10股,2014/9/26,9.38,1,0.006472,0.011727,-0.1159,2010/1/28,5,4.69,0.005255
2252,上海莱士,2014/8/16,10股转增10股,2014/9/25,34.82,1,0.001897,0.099943,0.2243,2008/6/23,7,17.41,0.098046
600792,云煤能源,2014/8/21,10转增10股,2014/10/29,6.34,1,0.005373,-0.012618,0.1629,1997/1/23,18,3.17,-0.017991
2201,九鼎新材,2014/8/25,10转增3股派0.15元(含税),2014/10/21,10.11,0.3,-0.007907,-0.094955,0.141,2007/12/26,8,7.776923077,-0.087048
300096,易联众,2014/8/25,10股转增15股,2014/9/25,14.41,1.5,0.001897,0.017349,-0.1644,2010/7/28,5,5.764,0.015452
600138,中青旅,2014/8/27,10转增5股派1.5元(含税),2014/9/29,16.66,0.5,0.003823,-0.013205,0.0998,1997/12/3,18,11.10666667,-0.017028
883,湖北能源,2014/8/27,10股转增10股,2014/9/22,4.02,1,0.010378,0,0.5945,1998/5/19,17,2.01,-0.010378
600039,四川路桥,2014/8/30,10股转增10股,2014/10/9,5.08,1,-0.005331,-0.03937,-0.0369,2003/3/25,12,2.54,-0.034039
2495,佳隆股份,2014/12/3,10转增10送3.8股派1元(含税),2015/3/10,8.98,1.38,0.001039,-0.026726,0.3112,2010/11/2,5,3.773109244,-0.027765
997,新大陆,2014/12/4,10股转增8股,2015/6/8,38.44,0.8,-0.004086,-0.032258,-0.2035,2000/8/7,15,21.35555556,-0.028172
600794,保税科技,2014/12/6,10转增12股派1元(含税),2015/3/18,9.13,1.2,0.002096,-0.002191,0.1427,1997/3/6,18,4.15,-0.004287
2392,北京利尔,2014/12/16,10转增10股派0.5元(含税),2015/6/24,10.89,1,-0.038473,-0.049587,-0.199,2010/4/23,5,5.445,-0.011114
300084,海默科技,2014/12/23,10转增12股派0.30元(含税),2015/6/1,21.03,1.2,0.026451,0.01902,-0.6286,2010/5/20,5,9.559090909,-0.007431
2337,赛象科技,2014/12/25,10股转增20股,2015/3/6,13.39,2,0.018349,0.055265,0.327,2010/1/15,5,4.463333333,0.036916
2421,达实智能,2014/12/26,10转增12股派1元(含税),2015/5/12,23.86,1.2,-0.001864,0.100168,-0.0099,2010/6/3,5,10.84545455,0.102032
2358,森源电气,2014/12/27,10转增10股派2.3元(含税),2015/6/15,31.1,1,-0.03851,-0.094855,-0.4856,2010/2/10,5,15.55,-0.056345
656,金科股份,2014/12/27,10转增14送6股派1.5元(含税),2015/4/29,8.59,2,-0.004156,-0.03376,0.2349,1996/11/28,19,2.863333333,-0.029604
600478,科力远,2015/1/1,10股转增8股,2015/5/18,23.4,0.8,0.03207,0.05812,-0.3126,2003/9/18,12,13,0.02605
300017,网宿科技,2015/1/6,10转增11.993290股派1.499162元(含税),2015/4/22,45.79,1.199329,0.00583,0.100022,-0.0369,2009/10/30,6,20.81998646,0.094192
2268,卫士通,2015/1/6,10转增10股派0.3元(含税),2015/4/15,55.7,1,0.024582,-0.007181,-0.0479,2008/8/11,7,27.85,-0.031763
2107,沃华医药,2015/1/15,10转增12股派2.1元(含税),2015/3/19,27.06,1.2,0.011096,0.100148,0.3265,2007/1/24,8,12.3,0.089052
600496,精工钢构,2015/1/15,10转增12股派0.4元(含税),2015/5/22,9.98,1.2,0.03005,0.069138,-0.5361,2002/6/5,13,4.536363636,0.039088
300142,沃森生物,2015/1/16,10转增10股派0.5元(含税),2015/4/23,30.64,1,-0.003938,0.001958,0.3876,2010/11/12,5,15.32,0.005896
2448,中原内配,2015/1/20,10转增15股派2元(含税),2015/6/4,20.32,1.5,0.014775,0.011319,-0.3528,2010/7/16,5,8.128,-0.003456
2527,新时达,2015/1/22,10转增5股派1.7元(含税),2015/6/12,30.92,0.5,-0.021363,-0.099935,-0.1326,2010/12/24,5,20.61333333,-0.078572
2497,雅化集团,2015/1/22,10转增10股派1元(含税),2015/5/8,8.63,1,0.036681,0.052144,0.0793,2010/11/9,5,4.315,0.015463
300004,南风股份,2015/1/23,10转增10股派0.5元(含税),2015/7/7,21,1,-0.067128,0.1,-0.1329,2009/10/30,6,10.5,0.167128
2245,澳洋顺昌,2015/1/28,10转增9送3股派0.8元(含税),2015/3/20,9.5,1.2,0.02265,0.1,-0.022,2008/6/5,7,4.318181818,0.07735
300107,建新股份,2015/1/29,10转增9.978578股派0.498929元(含税),2015/5/14,9.41,0.997858,-0.013775,-0.030818,-0.0132,2010/8/20,5,4.710044458,-0.017043
300036,超图软件,2015/1/31,10转增6股派1元(含税),2015/5/12,42.66,0.6,-0.001864,-0.022504,-0.1806,2009/12/25,6,26.6625,-0.02064
600577,精达股份,2015/2/3,10转增9送1股派1元(含税),2015/6/11,11.19,1,0.011318,0.007149,-0.4747,2002/9/11,13,5.595,-0.004169
2214,大立科技,2015/2/3,10转增10股派0.5元(含税),2015/5/15,15.5,1,0.002078,0.063871,-0.3402,2008/2/18,7,7.75,0.061793
2129,中环股份,2015/2/4,10转增12股派0.1元(含税),2015/4/29,24.3,1.2,-0.004156,-0.021399,0.2952,2007/4/20,8,11.04545455,-0.017243
600184,光电股份,2015/3/13,10股转增10股,2015/4/23,28.9,1,-0.003938,-0.051557,0.4192,2003/11/6,12,14.45,-0.047619
300075,数字政通,2015/2/11,10转增10股派1元(含税),2015/5/25,63.2,1,0.026126,0.015032,-0.3565,2010/4/27,5,31.6,-0.011094
545,金浦钛业,2015/2/11,10股转增3股,2015/3/26,15.34,0.3,0.005709,-0.029987,0.209,1993/12/15,22,11.8,-0.035696
2178,延华智能,2015/2/11,10转增6送2股派0.6元(含税),2015/4/8,22.96,0.8,-0.009481,0.075784,0.0385,2007/11/1,8,12.75555556,0.085265
2434,万里扬,2015/2/13,10转增5股派2元(含税),2015/5/14,17.36,0.5,-0.013775,-0.035138,0.0442,2010/6/18,5,11.57333333,-0.021363
601678,滨化股份,2015/2/17,10转增5股派1.7元(含税),2015/4/15,10.07,0.5,0.024582,-0.025819,0.001,2010/2/23,5,6.713333333,-0.050401
2249,大洋电机,2015/2/17,10转增10股派2.73元(含税),2015/3/19,9.58,1,0.011096,0.100209,0.1376,2008/6/19,7,4.79,0.089113
2262,恩华药业,2015/2/17,10送2股派0.6元(含税),2015/4/8,27.2,0.2,-0.009481,-0.006618,0.2424,2008/7/23,7,22.66666667,0.002863
2331,皖通科技,2015/2/17,10转增2股派0.5元(含税),2015/3/26,15.5,0.2,0.005709,0.1,0.9343,2010/1/6,5,12.91666667,0.094291
2284,亚太股份,2015/2/26,10转增5送5股派1元(含税),2015/4/24,12.54,1,0.025079,-0.024721,1.054,2009/8/28,6,6.27,-0.0498
2138,顺络电子,2015/2/27,10股转增10股,2015/4/8,18.6,1,-0.009481,0.1,0.0391,2007/6/13,8,9.3,0.109481
2487,大金重工,2015/2/28,10转增5股派0.1元(含税),2015/4/8,11.19,0.5,-0.009481,0.072386,0.3792,2010/10/15,5,7.46,0.081867
2154,报喜鸟,2015/2/28,10转增10股派0.5元(含税),2015/4/30,8.62,1,0.00876,0.017401,0.6716,2007/8/16,8,4.31,0.008641
2491,通鼎互联,2015/2/28,10转增20股派1元(含税),2015/5/20,28.84,2,0.025991,0.099861,-0.495,2010/10/21,5,9.613333333,0.07387
2522,浙江众成,2015/2/28,10转增10股派1元(含税),2015/5/6,31.65,1,-0.024518,-0.051501,-0.0946,2010/12/10,5,15.825,-0.026983
300020,银江股份,2015/3/2,10转增12股派1元(含税),2015/6/2,43.08,1.2,0.001665,0.100046,-0.4417,2009/10/30,6,19.58181818,0.098381
300049,福瑞股份,2015/3/2,10转增10股派2元(含税),2015/7/6,33.42,1,-0.02927,-0.09994,0.2899,2010/1/20,5,16.71,-0.07067
300009,安科生物,2015/3/3,10转增3股派1.5元(含税),2015/4/17,20.59,0.3,-0.017908,-0.081107,0.6993,2009/10/30,6,15.83846154,-0.063199
300015,爱尔眼科,2015/3/4,10转增4.997973股派1.424422元(含税),2015/6/4,38.88,0.499797,0.014775,-0.026492,-0.0539,2009/10/30,6,25.92350831,-0.041267
600966,博汇纸业,2015/3/4,10股转增10股,2015/5/14,5.75,1,-0.013775,-0.033043,0.0306,2004/6/8,11,2.875,-0.019268
600035,楚天高速,2015/3/4,10转增2股派0.7元(含税),2015/4/16,9.52,0.2,0.018286,-0.003151,-0.1781,2004/3/10,11,7.933333333,-0.021437
300032,金龙机电,2015/3/5,10转增10股派1元(含税),2015/5/14,30.51,1,-0.013775,0.055392,0.1398,2009/12/25,6,15.255,0.069167
2494,华斯股份,2015/3/6,10股转增10股,2015/4/9,14.55,1,0.022003,-0.030241,1.2147,2010/11/2,5,7.275,-0.052244
300055,万邦达,2015/3/6,10转增20股派0.6元(含税),2015/4/7,48.2,2,0.003274,-0.087552,-0.1164,2010/2/26,5,16.06666667,-0.090826
600617,国新能源,2015/3/10,10股转增7股,2015/4/20,22.45,0.7,0.024854,-0.023163,0.0424,1992/10/13,23,13.20588235,-0.048017
900913,国新B股,2015/3/10,10股转增7股,2015/4/20,2.064,0.7,0.024854,-0.00436,0.1698,1993/9/28,22,1.214117647,-0.029214
2237,恒邦股份,2015/3/10,10转增10股派2元(含税),2015/4/16,13.98,1,0.018286,0.002861,0.0264,2008/5/20,7,6.99,-0.015425
2059,云南旅游,2015/3/12,10股转增10股,2015/5/14,11.9,1,-0.013775,0.040336,-0.0654,2006/8/10,9,5.95,0.054111
